1785419284213266153 cluster=intermediate_queue_0 done=348 window_fps=13.30
1785419289947892721 cluster=intermediate_queue_0 done=349 window_fps=11.59
1785419290941189532 cluster=intermediate_queue_0 done=350 window_fps=12.97
1785419292817641963 cluster=intermediate_queue_0 done=351 window_fps=12.54
1785419297502361377 cluster=intermediate_queue_0 done=352 window_fps=12.04
1785419299812772832 cluster=intermediate_queue_0 done=353 window_fps=12.29
1785419300398143674 cluster=intermediate_queue_0 done=354 window_fps=12.52
1785419304072098192 cluster=intermediate_queue_0 done=355 window_fps=12.96
1785419307980437160 cluster=intermediate_queue_0 done=356 window_fps=12.06
1785419309461337609 cluster=intermediate_queue_0 done=357 window_fps=11.79
1785419310130691145 cluster=intermediate_queue_0 done=358 window_fps=13.58
1785419316095579179 cluster=intermediate_queue_0 done=359 window_fps=11.95
1785419317412633985 cluster=intermediate_queue_0 done=360 window_fps=11.79
1785419317645097665 cluster=intermediate_queue_0 done=361 window_fps=13.80
1785419323901585381 cluster=intermediate_queue_0 done=362 window_fps=11.89
1785419324771868592 cluster=intermediate_queue_0 done=363 window_fps=11.83
1785419325659445615 cluster=intermediate_queue_0 done=364 window_fps=13.44
1785419330916919418 cluster=intermediate_queue_0 done=365 window_fps=12.01
1785419331542874675 cluster=intermediate_queue_0 done=366 window_fps=12.40
1785419334469889608 cluster=intermediate_queue_0 done=367 window_fps=12.98
1785419338064560623 cluster=intermediate_queue_0 done=368 window_fps=12.55
1785419339683163479 cluster=intermediate_queue_0 done=369 window_fps=12.22
1785419341146320249 cluster=intermediate_queue_0 done=370 window_fps=12.95
1785419345978208728 cluster=intermediate_queue_0 done=371 window_fps=12.63
1785419346848562352 cluster=intermediate_queue_0 done=372 window_fps=12.84
1785419349734204712 cluster=intermediate_queue_0 done=373 window_fps=12.12
1785419353159259339 cluster=intermediate_queue_0 done=374 window_fps=12.95
1785419354541459306 cluster=intermediate_queue_0 done=375 window_fps=12.93
1785419357868913672 cluster=intermediate_queue_0 done=376 window_fps=11.93
1785419359897184012 cluster=intermediate_queue_0 done=377 window_fps=13.33
1785419363108273265 cluster=intermediate_queue_0 done=378 window_fps=12.52
1785419364896765301 cluster=intermediate_queue_0 done=379 window_fps=12.23
1785419366841283096 cluster=intermediate_queue_0 done=380 window_fps=13.36
1785419371532122045 cluster=intermediate_queue_0 done=381 window_fps=12.00
1785419372802021535 cluster=intermediate_queue_0 done=382 window_fps=12.52
1785419373468291188 cluster=intermediate_queue_0 done=383 window_fps=13.56
1785419380201479334 cluster=intermediate_queue_0 done=384 window_fps=11.85
1785419380497638333 cluster=intermediate_queue_0 done=385 window_fps=12.20
1785419381199402263 cluster=intermediate_queue_0 done=386 window_fps=13.63
1785419387831426712 cluster=intermediate_queue_0 done=387 window_fps=11.71
1785419388260202598 cluster=intermediate_queue_0 done=388 window_fps=12.46
1785419389354774171 cluster=intermediate_queue_0 done=389 window_fps=13.26
1785419395828979371 cluster=intermediate_queue_0 done=390 window_fps=11.63
1785419396671016501 cluster=intermediate_queue_0 done=391 window_fps=12.37
1785419397212208863 cluster=intermediate_queue_0 done=392 window_fps=12.86
1785419403809484340 cluster=intermediate_queue_0 done=393 window_fps=11.79
1785419404369892312 cluster=intermediate_queue_0 done=394 window_fps=12.16
1785419405387922028 cluster=intermediate_queue_0 done=395 window_fps=12.45
1785419410310177592 cluster=intermediate_queue_0 done=396 window_fps=12.38
1785419412892328775 cluster=intermediate_queue_0 done=397 window_fps=11.97
1785419414962492675 cluster=intermediate_queue_0 done=398 window_fps=11.57
1785419416724865294 cluster=intermediate_queue_0 done=399 window_fps=13.14
1785419422916708620 cluster=intermediate_queue_0 done=400 window_fps=11.32
1785419423440953095 cluster=intermediate_queue_0 done=401 window_fps=11.36
1785419424111052787 cluster=intermediate_queue_0 done=402 window_fps=13.23
1785419431121544670 cluster=intermediate_queue_0 done=403 window_fps=11.20
